0,Armand,Enderle,M,2/8/1953,9497 Chapel Drive Melbourne,9622284049, FL 32904
1,Alberto,Scarlett,M,8/4/1953,8120 Bald Hill Street Baton Rouge,5740401890, LA 70806
2,Wyatt,Ruoff,M,1/18/1954,9169 Campfire Ave. Cockeysville,7910343846, MD 21030
3,Alfonso,Denmark,M,4/30/1956,88 Young Avenue Oak Forest,4090062218, IL 60452
4,Pearl,Straube,M,5/31/1957,724 East Warren St. New Brunswick,1172492121, NJ 08901
5,Vincent,Wohlwend,M,11/7/1960,797 Spruce Dr. Lanham,5206065440, MD 20706
6,Breanne,Flick,M,12/26/1960,54 Golf Ave. Rocky Mount,5490748448, NC 27804
7,Annette,Onken,M,9/3/1961,7360 Shub Farm St. Appleton,6715256587, WI 54911
8,Dorothy,Sherk,M,12/24/1964,21 W. Greystone Dr. Jamaica,1894600137, NY 11432
9,Ina,Lecroy,M,3/1/1966,8045 Edgewood Ave. Newtown,7706959744, PA 18940
10,Alane,Piland,M,6/28/1967,73 Berkshire Street Fishers,2128617384, IN 46037
11,Alline,Bodiford,M,4/30/1972,662 Rose St. Brentwood,7102355574, NY 11717
12,Nova,Imburgia,M,11/3/1972,9376 Court Lane Hendersonville,9592486539, NC 28792
13,Tomeka,Amerson,M,3/28/1973,759 Lake Dr. Zeeland,4811914680, MI 49464
14,Drusilla,Kogan,M,3/20/1976,311 Brickyard Ave. Flemington,2229502560, NJ 08822
15,Lloyd,Woodruff,M,11/11/1976,936 Sulphur Springs Ave. Glendora,5490985554, CA 91740
16,Connie,Smolen,M,5/18/1983,47 Second Rd. Neenah,7118367912, WI 54956
17,Maryetta,Palmateer,M,6/17/1988,265 Strawberry Drive Dublin,3673179162, GA 31021
18,Krystle,Trembath,M,8/6/1988,72 3rd St. Latrobe,1966537008, PA 15650
19,Julieta,Marts,M,10/25/1989,333 S. Grant St. Greenfield,8047947465, IN 46140
20,Clelia,Hodgins,M,11/9/1990,993 University St. Brentwood,7536228321, NY 11717
21,Willie,Woodham,M,1/1/1992,9114 S. Sage Road Carrollton,9621495701, GA 30117
22,Aimee,Vanderploeg,M,12/13/1993,8164 North Hillside Ave. Cranston,2475110753, RI 02920
23,Veronika,Luoma,F,8/21/1994,4 Marlborough St. Parkersburg,4543085002, WV 26101
24,Clyde,Knell,M,12/14/1997,7243 Logan Dr. Chelsea,6676354984, MA 02150
25,Yvonne,Honig,F,10/1/1953,7596 Pin Oak Ave. Cordova,7025734763, TN 38016
26,Leeanne,Sauer,M,10/21/1953,83 Sunset St. Yuba City,4118522622, CA 95993
27,Sharita,Medellin,M,9/20/1954,8 Princess Ave. Chesterton,9369715843, IN 46304
28,Antione,Nuttall,F,9/21/1954,193 Sunnyslope St. Newburgh,8371389875, NY 12550
29,Melonie,Helmers,F,9/8/1955,7584 S. Thatcher Lane Indiana,9081141825, PA 15701
30,Britt,Jarrett,M,5/27/1959,205 North Holly Ave. Milton,1946560485, MA 02186
31,Geri,Bermudes,M,6/1/1959,8014 Summer St. Parsippany,3012413153, NJ 07054
32,Estela,Covington,M,11/30/1961,40 Ohio Dr. York,8644946121, PA 17402
33,Anneliese,Rinaldi,F,6/26/1964,644 N. Philmont Avenue Manchester Township,1211636053, NJ 08759
34,Frankie,Husted,M,3/4/1969,9020 John St. Raleigh,3993477235, NC 27603
35,Nelia,Kernan,F,7/3/1971,131 Essex St. Faribault,2469227763, MN 55021
36,Thu,Fuentes,M,3/18/1972,83 Clinton St. Springboro,8198147292, OH 45066
37,Candie,Olivarria,F,5/12/1977,728 Lake View St. Orange,7927215981, NJ 07050
38,Linnea,Pundt,F,3/31/1979,79 Greystone Court Greenwood,9164750663, SC 29646
39,Leandro,Caudillo,M,2/10/1981,31 Ramblewood St. Campbell,3812286661, CA 95008
40,Hien,Montufar,M,5/28/1983,9859 Lees Creek Street Gloucester,9941557217, MA 01930
41,Harley,Cano,M,4/14/1984,6 York Street Libertyville,5831292451, IL 60048
42,Abbey,Bolds,F,7/1/1986,34 La Sierra St. Littleton,8728835839, CO 80123
43,Sonia,Effler,F,6/26/1990,794 Spruce Road Oshkosh,4242628651, WI 54901
44,Rita,Mcclain,F,7/6/1990,62 Birchpond Dr. Metairie,2314299338, LA 70001
45,Adele,Stjean,F,7/17/1990,51 Elmwood Circle Corpus Christi,6396792958, TX 78418
46,Yasmin,Vento,F,9/1/1992,739 E. Jones Court Suffolk,5364512979, VA 23434
47,Mari,Laxson,F,9/11/1993,64 Sunset Street Daphne,5163160678, AL 36526
48,Felisha,Godoy,F,7/10/1995,8770 W. Edgemont Street Greenwood,4703951650, SC 29646
49,Isabelle,Pasillas,F,6/30/1999,779 NW. Penn Court Santa Monica,1377105613, CA 90403
50,Charles,Given,M,12/18/1927,66 Ridgewood Street Titusville,4841925418, FL 32780
51,Adalberto,Donald,M,12/24/1928,970 Fordham Street Wilson,4174605149, NC 27893
52,Yevette,Mars,F,1/11/1934,712 Glendale Court Valrico,9315625291, FL 33594
53,Asley,Aparicio,F,9/27/1937,897 Lyme St. Duarte,9297287325, CA 91010
54,Daren,Max,M,6/6/1939,994 William St. Oviedo,2351582940, FL 32765
55,Teena,Scudder,F,4/7/1941,16 Riverside Ave. Worcester,4105653478, MA 01604
56,Claribel,Brugh,F,7/11/1946,8993 San Pablo Court Kansas City,9565982684, MO 64151
57,Alec,Wheless,M,12/17/1948,12 Durham St. Great Falls,4981520693, MT 59404
58,Isaac,Bachman,M,7/17/1949,8572 Smoky Hollow St. State College,8956061286, PA 16801
59,Martha,Lustig,F,5/30/1950,67 East Elm St. North Wales,1066146534, PA 19454
60,Elli,Stannard,F,1/4/1959,556 Rocky River Drive Blackwood,6280784729, NJ 08012
61,Missy,Steenberg,F,10/10/1962,56 Bishop St. Wadsworth,6262138963, OH 44281
62,Luz,Grable,M,11/5/1963,8766 Santa Clara Ave. Alabaster,6626228519, AL 35007
63,Judson,Dudek,M,1/5/1968,95 SW. Yukon Street Bradenton,3062375605, FL 34203
64,Max,Bento,M,7/3/1969,9133 4th St. Palos Verdes Peninsula,3804952234, CA 90274
65,Hunter,Coit,M,4/28/1972,7019 Johnson Dr. Hernando,3517502310, MS 38632
66,Savanna,Pohlmann,F,9/8/1976,83 Orchard St. Lynchburg,9808077202, VA 24502
67,Eulah,Agbayani,M,9/7/1978,7417 S. Lawrence Court Erie,6135433242, PA 16506
68,Chelsie,Lichtenberger,F,5/10/1981,8326 Tower St. Newnan,3133427336, GA 30263
69,Gertrud,Daley,M,6/2/1982,48 Vermont Ave. Warminster,3575488227, PA 18974
70,Donn,Wimberley,M,11/15/1982,264 Arcadia Dr. Bedford,7848814274, OH 44146
71,Crissy,Keyes,F,11/21/1983,90 South Riverside Lane Wisconsin Rapids,5023993147, WI 54494
72,Maudie,Edney,F,4/5/1985,224 Stonybrook Street Sugar Land,2978874915, TX 77478
73,Detra,Bright,F,9/9/1985,8527 North Country Club Avenue Derry,7879118806, NH 03038
74,Sung,Stops,M,6/23/1989,833 Addison Road Greer,5940090978, SC 29650
75,Lucile,Hensler,M,7/4/1929,872 Sherman Street Glendale,7359129280, AZ 85302
76,Chuck,Casteel,M,12/30/1930,69 Greenrose Dr. Grandville,4843931690, MI 49418
77,Altha,Delillo,M,7/2/1933,452 Adams Rd. Grand Island,4186395414, NE 68801
78,Toshiko,Cockrill,M,5/30/1936,83 Beechwood Road Green Bay,5931274929, WI 54302
79,Aaron,Bulow,M,8/1/1937,92 Birch Hill Street Randallstown,9649870414, MD 21133
80,Ralph,Situ,M,12/8/1942,9816 Beaver Ridge St. Dearborn,4230798040, MI 48124
81,Domenica,Revard,M,5/4/1947,456 6th Drive Thomasville,3860391025, NC 27360
