0,Armand Enderle,Australia
1,Alberto Scarlett,Morocco
2,Wyatt Ruoff,India
3,Alfonso Denmark,UK
4,Pearl Straube,Australia
5,Vincent Wohlwend,Egypt
6,Breanne Flick,South Africa
7,Annette Onken,India
8,Dorothy Sherk,Australia
9,Ina Lecroy,Canada
10,Alane Piland,Brazil
11,Alline Bodiford,UK
12,Nova Imburgia,Croatia
13,Tomeka Amerson,Canada
14,Drusilla Kogan,USA
15,Lloyd Woodruff,Austria
16,Connie Smolen,Austria
17,Maryetta Palmateer,Belgium
18,Krystle Trembath,UK
19,Julieta Marts,Japan
20,Clelia Hodgins,Australia
21,Willie Woodham,UK
22,Aimee Vanderploeg,Canada
23,Veronika Luoma,France
24,Clyde Knell,Colombia
25,Yvonne Honig,Turkey
26,Leeanne Sauer,South Africa
27,Sharita Medellin,Italy
28,Antione Nuttall,Croatia
29,Melonie Helmers,Morocco
30,Britt Jarrett,Morocco
31,Geri Bermudes,Austria
32,Estela Covington,Italy
33,Anneliese Rinaldi,Croatia
34,Frankie Husted,Morocco
35,Nelia Kernan,India
36,Thu Fuentes,Mexico
37,Candie Olivarria,Spain
38,Linnea Pundt,Japan
39,Leandro Caudillo,Croatia
40,Hien Montufar,Japan
41,Harley Cano,New Zealand
42,Abbey Bolds,Belgium
43,Sonia Effler,USA
44,Rita Mcclain,Greece
45,Adele Stjean,Morocco
46,Yasmin Vento,Morocco
47,Mari Laxson,Brazil
48,Felisha Godoy,Germany
49,Isabelle Pasillas,India
50,Charles Given,Egypt
51,Adalberto Donald,UK
52,Yevette Mars,USA
53,Asley Aparicio,Egypt
54,Daren Max,Australia
55,Teena Scudder,Canada
56,Claribel Brugh,Japan
57,Alec Wheless,Austria
58,Isaac Bachman,Argentina
59,Martha Lustig,Belgium
60,Elli Stannard,Germany
61,Missy Steenberg,Spain
62,Luz Grable,South Africa
63,Judson Dudek,Brazil
64,Max Bento,China
65,Hunter Coit,China
66,Savanna Pohlmann,Mexico
67,Eulah Agbayani,Colombia
68,Chelsie Lichtenberger,Croatia
69,Gertrud Daley,India
70,Donn Wimberley,Belgium
71,Crissy Keyes,Germany
